REG_ID	REG_ID_GROUP	STATION_NAME	SYNONYM_NAMES	ICES_STATION_NAME	LAT_DM	LONG_DM	LATITUDE_WGS84_SWEREF99_DD	LONGITUDE_WGS84_SWEREF99_DD	LATITUDE_SWEREF99TM	LONGITUDE_SWEREF99TM	OUT_OF_BOUNDS_RADIUS	WADEP	EU_CD	MEDIA	COMNT	OLD_SHARK_ID
00157247	00264862	S127 ULVSUNDET	S127<or>S127 / ULVSUNDET		5903.84	1738.26	59.064	17.6377	6550165	651234	1200	5		Biota;Vatten		BPNS14
00157248	00264863	H67			5950.62	1907.70	59.8437	19.1283	6641209	731255	1200			Biota;Vatten	VAL-2018-05-14	
00157249	00264864	GRYM4			5735.36	1633.93	57.5893	16.5655	6384070	593588	1200			Biota;Vatten	VAL-2018-05-14	
00157250	00264865	RÅ 2			6550.38	2227.96	65.8397	22.466	7322309	840339	1200			Biota;Vatten	VAL-2018-05-14	
00157251	00264866	GAVIKSFJÄRDEN-EDSÄTTERFJÄRDEN R 4-1	R 4-1		6251.89	1824.56	62.8648	18.4093	6975123	673429	1200		SE697536-163255	Biota;Vatten	VAL-2018-05-14	
00157252	00264867	S38 N SIARÖ	S38<or>S38 / SIARÖ		5934.11	1839.08	59.5685	18.6513	6609027	706241	1200	5		Biota;Vatten		BPNS27
00157253	00264868	LDW2	Ldw2		5759.91	1645.20	57.9986	16.7534	6429896	603639	1200			Biota;Vatten		
00157254	00264869	SÖ26 GUNNARBOLFJÄRDEN	SÖ26<or>SÖ26 / GUNNARBOLFJÄRD		5848.26	1728.82	58.8043	17.4803	6520918	643288	1200	5		Biota;Vatten		BPND26
00157255	00264870	13 BOLLSTAFJÄRDEN	13<or>SBo8		6259.29	1742.63	62.9882	17.7105	6987165	637319	1200			Biota;Vatten	VAL-2018-05-14	
00157256	00264871	SUNDSVALL 630			6220.15	1723.29	62.3358	17.3882	6913877	623686	1200	43		Biota;Vatten	VAL-2018-05-14	GBSY12
00157257	00264872	S63 SOLLENKROKA	SOLLENKROKA		5922.63	1840.16	59.3772	18.6693	6587798	708433	1200	43		Biota;Vatten		BPST55
