scientific_name	authority	rank	aphia_id	url	parent_name	parent_id	status	valid_aphia_id	valid_name	valid_authority	kingdom	phylum	class	order	family	genus	classification
Munidopsidae	Ortmann, 1898	Family	562642	https://www.marinespecies.org/aphia.php?p=taxdetails&id=562642	Galatheoidea	106685	accepted	562642	Munidopsidae	Ortmann, 1898	Animalia	Arthropoda	Malacostraca	Decapoda	Munidopsidae		[] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Eucarida - [Order] Decapoda - [Suborder] Pleocyemata - [Infraorder] Anomura - [Superfamily] Galatheoidea - [Family] Munidopsidae
Munidopsis	Whiteaves, 1874	Genus	106836	https://www.marinespecies.org/aphia.php?p=taxdetails&id=106836	Munidopsidae	562642	accepted	106836	Munidopsis	Whiteaves, 1874	Animalia	Arthropoda	Malacostraca	Decapoda	Munidopsidae	Munidopsis	[] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Eucarida - [Order] Decapoda - [Suborder] Pleocyemata - [Infraorder] Anomura - [Superfamily] Galatheoidea - [Family] Munidopsidae - [Genus] Munidopsis
Pisidia	Leach, 1820	Genus	106837	https://www.marinespecies.org/aphia.php?p=taxdetails&id=106837	Porcellanidae	106734	accepted	106837	Pisidia	Leach, 1820	Animalia	Arthropoda	Malacostraca	Decapoda	Porcellanidae	Pisidia	[] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Eucarida - [Order] Decapoda - [Suborder] Pleocyemata - [Infraorder] Anomura - [Superfamily] Galatheoidea - [Family] Porcellanidae - [Genus] Pisidia
Lithodoidea	Samouelle, 1819	Superfamily	366102	https://www.marinespecies.org/aphia.php?p=taxdetails&id=366102	Anomura	106671	accepted	366102	Lithodoidea	Samouelle, 1819	Animalia	Arthropoda	Malacostraca	Decapoda			[] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Eucarida - [Order] Decapoda - [Suborder] Pleocyemata - [Infraorder] Anomura - [Superfamily] Lithodoidea
Lithodidae	Samouelle, 1819	Family	106737	https://www.marinespecies.org/aphia.php?p=taxdetails&id=106737	Lithodoidea	366102	accepted	106737	Lithodidae	Samouelle, 1819	Animalia	Arthropoda	Malacostraca	Decapoda	Lithodidae		[] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Eucarida - [Order] Decapoda - [Suborder] Pleocyemata - [Infraorder] Anomura - [Superfamily] Lithodoidea - [Family] Lithodidae
Lithodes	Latreille, 1806	Genus	106845	https://www.marinespecies.org/aphia.php?p=taxdetails&id=106845	Lithodidae	106737	accepted	106845	Lithodes	Latreille, 1806	Animalia	Arthropoda	Malacostraca	Decapoda	Lithodidae	Lithodes	[] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Eucarida - [Order] Decapoda - [Suborder] Pleocyemata - [Infraorder] Anomura - [Superfamily] Lithodoidea - [Family] Lithodidae - [Genus] Lithodes
Anapagurus	Henderson, 1886	Genus	106849	https://www.marinespecies.org/aphia.php?p=taxdetails&id=106849	Paguridae	106738	accepted	106849	Anapagurus	Henderson, 1886	Animalia	Arthropoda	Malacostraca	Decapoda	Paguridae	Anapagurus	[] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Eucarida - [Order] Decapoda - [Suborder] Pleocyemata - [Infraorder] Anomura - [Superfamily] Paguroidea - [Family] Paguridae - [Genus] Anapagurus
Astacidea	Latreille, 1802	Infraorder	106672	https://www.marinespecies.org/aphia.php?p=taxdetails&id=106672	Pleocyemata	106670	accepted	106672	Astacidea	Latreille, 1802	Animalia	Arthropoda	Malacostraca	Decapoda			[] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Eucarida - [Order] Decapoda - [Suborder] Pleocyemata - [Infraorder] Astacidea
Nephropoidea	Dana, 1852	Superfamily	155750	https://www.marinespecies.org/aphia.php?p=taxdetails&id=155750	Astacidea	106672	accepted	155750	Nephropoidea	Dana, 1852	Animalia	Arthropoda	Malacostraca	Decapoda			[] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Eucarida - [Order] Decapoda - [Suborder] Pleocyemata - [Infraorder] Astacidea - [Superfamily] Nephropoidea
Nephropidae	Dana, 1852	Family	106741	https://www.marinespecies.org/aphia.php?p=taxdetails&id=106741	Nephropoidea	155750	accepted	106741	Nephropidae	Dana, 1852	Animalia	Arthropoda	Malacostraca	Decapoda	Nephropidae		[] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Eucarida - [Order] Decapoda - [Suborder] Pleocyemata - [Infraorder] Astacidea - [Superfamily] Nephropoidea - [Family] Nephropidae
Homarus	Weber, 1795	Genus	106862	https://www.marinespecies.org/aphia.php?p=taxdetails&id=106862	Nephropidae	106741	accepted	106862	Homarus	Weber, 1795	Animalia	Arthropoda	Malacostraca	Decapoda	Nephropidae	Homarus	[] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Eucarida - [Order] Decapoda - [Suborder] Pleocyemata - [Infraorder] Astacidea - [Superfamily] Nephropoidea - [Family] Nephropidae - [Genus] Homarus
Nephrops	Leach, 1814	Genus	106863	https://www.marinespecies.org/aphia.php?p=taxdetails&id=106863	Nephropidae	106741	accepted	106863	Nephrops	Leach, 1814	Animalia	Arthropoda	Malacostraca	Decapoda	Nephropidae	Nephrops	[] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Eucarida - [Order] Decapoda - [Suborder] Pleocyemata - [Infraorder] Astacidea - [Superfamily] Nephropoidea - [Family] Nephropidae - [Genus] Nephrops
Cancroidea	Latreille, 1802	Superfamily	106695	https://www.marinespecies.org/aphia.php?p=taxdetails&id=106695	Heterotremata	106680	accepted	106695	Cancroidea	Latreille, 1802	Animalia	Arthropoda	Malacostraca	Decapoda			[] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Eucarida - [Order] Decapoda - [Suborder] Pleocyemata - [Infraorder] Brachyura - [Section] Eubrachyura - [Subsection] Heterotremata - [Superfamily] Cancroidea
Cancridae	Latreille, 1802	Family	106749	https://www.marinespecies.org/aphia.php?p=taxdetails&id=106749	Cancroidea	106695	accepted	106749	Cancridae	Latreille, 1802	Animalia	Arthropoda	Malacostraca	Decapoda	Cancridae		[] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Eucarida - [Order] Decapoda - [Suborder] Pleocyemata - [Infraorder] Brachyura - [Section] Eubrachyura - [Subsection] Heterotremata - [Superfamily] Cancroidea - [Family] Cancridae
Cancer	Linnaeus, 1758	Genus	106876	https://www.marinespecies.org/aphia.php?p=taxdetails&id=106876	Cancridae	106749	accepted	106876	Cancer	Linnaeus, 1758	Animalia	Arthropoda	Malacostraca	Decapoda	Cancridae	Cancer	[] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Eucarida - [Order] Decapoda - [Suborder] Pleocyemata - [Infraorder] Brachyura - [Section] Eubrachyura - [Subsection] Heterotremata - [Superfamily] Cancroidea - [Family] Cancridae - [Genus] Cancer
Goneplacoidea	MacLeay, 1838	Superfamily	106698	https://www.marinespecies.org/aphia.php?p=taxdetails&id=106698	Heterotremata	106680	accepted	106698	Goneplacoidea	MacLeay, 1838	Animalia	Arthropoda	Malacostraca	Decapoda			[] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Eucarida - [Order] Decapoda - [Suborder] Pleocyemata - [Infraorder] Brachyura - [Section] Eubrachyura - [Subsection] Heterotremata - [Superfamily] Goneplacoidea
