scientific_name	author	rank	taxon_id	synonyms	Class	Order	Family	Genus	taxon_hierarchy	RecommendedGUID
Chironomus melanotus	"Keyl, 1961"	species	235259		Insecta	Diptera	Chironomidae	Chironomus	Animalia - Arthropoda - Hexapoda - Insecta - Diptera - Nematocera - Chironomoidea - Chironomidae - Chironominae - Chironomini - Chironomus - Chironomus (Chironomus) - Chironomus melanotus	urn:lsid:dyntaxa.se:Taxon:235259
Chironomus muratensis	"Ryser, Scholl & Wülker, 1983"	species	235260		Insecta	Diptera	Chironomidae	Chironomus	Animalia - Arthropoda - Hexapoda - Insecta - Diptera - Nematocera - Chironomoidea - Chironomidae - Chironominae - Chironomini - Chironomus - Chironomus (Chironomus) - Chironomus muratensis	urn:lsid:dyntaxa.se:Taxon:235260
Chironomus neocorax	"Wülker & Butler, 1983"	species	235261		Insecta	Diptera	Chironomidae	Chironomus	Animalia - Arthropoda - Hexapoda - Insecta - Diptera - Nematocera - Chironomoidea - Chironomidae - Chironominae - Chironomini - Chironomus - Chironomus (Chironomus) - Chironomus neocorax	urn:lsid:dyntaxa.se:Taxon:235261
Chironomus nuditarsis	"Keyl, 1961"	species	235262		Insecta	Diptera	Chironomidae	Chironomus	Animalia - Arthropoda - Hexapoda - Insecta - Diptera - Nematocera - Chironomoidea - Chironomidae - Chironominae - Chironomini - Chironomus - Chironomus (Chironomus) - Chironomus nuditarsis	urn:lsid:dyntaxa.se:Taxon:235262
Chironomus obtusidens	"Goetghebuer, 1921"	species	235263		Insecta	Diptera	Chironomidae	Chironomus	Animalia - Arthropoda - Hexapoda - Insecta - Diptera - Nematocera - Chironomoidea - Chironomidae - Chironominae - Chironomini - Chironomus - Chironomus (Chironomus) - Chironomus obtusidens	urn:lsid:dyntaxa.se:Taxon:235263
Chironomus piger	"Strenzke, 1956"	species	235264		Insecta	Diptera	Chironomidae	Chironomus	Animalia - Arthropoda - Hexapoda - Insecta - Diptera - Nematocera - Chironomoidea - Chironomidae - Chironominae - Chironomini - Chironomus - Chironomus (Chironomus) - Chironomus piger	urn:lsid:dyntaxa.se:Taxon:235264
Chironomus pilicornis	"(Fabricius, 1787)"	species	235265		Insecta	Diptera	Chironomidae	Chironomus	Animalia - Arthropoda - Hexapoda - Insecta - Diptera - Nematocera - Chironomoidea - Chironomidae - Chironominae - Chironomini - Chironomus - Chironomus (Chironomus) - Chironomus pilicornis	urn:lsid:dyntaxa.se:Taxon:235265
Chironomus plumosus	"(Linnaeus, 1758)"	species	233431		Insecta	Diptera	Chironomidae	Chironomus	Animalia - Arthropoda - Hexapoda - Insecta - Diptera - Nematocera - Chironomoidea - Chironomidae - Chironominae - Chironomini - Chironomus - Chironomus (Chironomus) - Chironomus plumosus	urn:lsid:dyntaxa.se:Taxon:233431
Chironomus prasinus	"Pinder, 1978"	species	6033526		Insecta	Diptera	Chironomidae	Chironomus	Animalia - Arthropoda - Hexapoda - Insecta - Diptera - Nematocera - Chironomoidea - Chironomidae - Chironominae - Chironomini - Chironomus - Chironomus (Chironomus) - Chironomus prasinus	urn:lsid:dyntaxa.se:Taxon:6033526
Chironomus pseudothummi	"Strenzke, 1959"	species	235267		Insecta	Diptera	Chironomidae	Chironomus	Animalia - Arthropoda - Hexapoda - Insecta - Diptera - Nematocera - Chironomoidea - Chironomidae - Chironominae - Chironomini - Chironomus - Chironomus (Chironomus) - Chironomus pseudothummi	urn:lsid:dyntaxa.se:Taxon:235267
